  Time                 , V(VG)                , V(VD)                , V(VMAX)              , I(Liman)             
  0.000000000000e+000  ,-1.874583247715e-001  ,4.999999747096e+000  ,3.200255135483e-002  ,7.438351360634e-006  
  5.000000000000e-011  ,-1.874583250182e-001  ,4.999999745831e+000  ,3.200255135480e-002  ,7.438351373489e-006  
  5.297113729175e-011  ,-1.874583248986e-001  ,4.999999760612e+000  ,3.200255135483e-002  ,7.438351365718e-006  
  5.891341187526e-011  ,-1.874583242109e-001  ,4.999999815957e+000  ,3.200255135483e-002  ,7.438351317295e-006  
  7.079796104226e-011  ,-1.874583253345e-001  ,4.999999607674e+000  ,3.200255135483e-002  ,7.438351400523e-006  
  9.456705937628e-011  ,-1.874583253480e-001  ,4.999999774043e+000  ,3.200255135483e-002  ,7.438351390889e-006  
  1.421052560443e-010  ,-1.874583257194e-001  ,4.999999722411e+000  ,3.200255135483e-002  ,7.438351380172e-006  
  2.332002453739e-010  ,-1.874583270925e-001  ,4.999999770253e+000  ,3.200255135483e-002  ,7.438351394118e-006  
  3.668217517668e-010  ,-1.874583265323e-001  ,4.999999720343e+000  ,3.200255135483e-002  ,7.438351441955e-006  
  6.118992872769e-010  ,-1.874582192633e-001  ,4.999999847743e+000  ,3.200255135485e-002  ,7.438349639801e-006  
  9.756738849217e-010  ,-1.874554636421e-001  ,5.000001739640e+000  ,3.200255135578e-002  ,7.438258343693e-006  
  1.335024700337e-009  ,-1.874450774804e-001  ,5.000008922688e+000  ,3.200255136068e-002  ,7.437859013447e-006  
  1.749323547655e-009  ,-1.874044853242e-001  ,5.000036682347e+000  ,3.200255138399e-002  ,7.435958156266e-006  
  2.313611895614e-009  ,-1.872273225827e-001  ,5.000155341856e+000  ,3.200255151638e-002  ,7.425147998453e-006  
  3.145096690231e-009  ,-1.864308843469e-001  ,5.000667667349e+000  ,3.200255234981e-002  ,7.357014935473e-006  
  4.491044075065e-009  ,-1.829048537300e-001  ,5.002756254936e+000  ,3.200255795275e-002  ,6.898400948970e-006  
  5.890076846653e-009  ,-1.757490443513e-001  ,5.006561360038e+000  ,3.200257378707e-002  ,5.601262503152e-006  
  8.268302173191e-009  ,-1.559532391169e-001  ,5.014986495781e+000  ,3.200263597247e-002  ,5.021435216840e-007  
  1.000000030000e-008  ,-1.359177313596e-001  ,5.021467748359e+000  ,3.200272595702e-002  ,-5.779193031212e-006  
  1.029420510132e-008  ,-1.320387250529e-001  ,5.022530564740e+000  ,3.200274762303e-002  ,-7.066354438531e-006  
  1.088261470396e-008  ,-1.238432063557e-001  ,5.024602025574e+000  ,3.200279318216e-002  ,-9.825849936921e-006  
  1.205943390925e-008  ,-1.057837126459e-001  ,5.028325098489e+000  ,3.200289251948e-002  ,-1.602332455798e-005  
  1.396491989691e-008  ,-7.363279038664e-002  ,5.031891453367e+000  ,3.200306999651e-002  ,-2.733000187757e-005  
  1.599073276121e-008  ,-3.709158370974e-002  ,5.031617188499e+000  ,3.200326635682e-002  ,-4.013119364220e-005  
  1.954801246722e-008  ,3.134119068338e-002  ,5.023246849100e+000  ,3.200374179677e-002  ,-5.954956931775e-005  
  2.292238041956e-008  ,1.038333918968e-001  ,5.013217511642e+000  ,3.200461080136e-002  ,-7.154915558745e-005  
  2.676538989146e-008  ,1.935168938371e-001  ,5.002606283026e+000  ,3.200550131954e-002  ,-7.759806206870e-005  
  3.176547453005e-008  ,3.108366963867e-001  ,4.993947928868e+000  ,3.200940513588e-002  ,-7.659213779205e-005  
  3.676555916865e-008  ,4.223725616086e-001  ,4.990345046449e+000  ,3.201418486855e-002  ,-6.877510656044e-005  
  4.175819322665e-008  ,5.194389364366e-001  ,4.990064862713e+000  ,3.202749630273e-002  ,-5.904099200428e-005  
  4.675827786524e-008  ,6.000289092135e-001  ,4.991368019284e+000  ,3.204221994551e-002  ,-4.980162228297e-005  
  5.175836250384e-008  ,6.650873245318e-001  ,4.993144116962e+000  ,3.207510909980e-002  ,-4.217295470024e-005  
  5.639932915766e-008  ,7.127430371986e-001  ,4.994950752848e+000  ,3.210775416805e-002  ,-3.667407364465e-005  
  6.139941379626e-008  ,7.529188040244e-001  ,4.996665130354e+000  ,3.216912599354e-002  ,-3.250163040859e-005  
  6.639949843485e-008  ,7.841584091686e-001  ,4.998071321355e+000  ,3.223842988619e-002  ,-2.983073266851e-005  
  7.139958307345e-008  ,8.077950277705e-001  ,4.999178527413e+000  ,3.233821964916e-002  ,-2.846148895504e-005  
  7.639966771204e-008  ,8.261339231528e-001  ,5.000022487439e+000  ,3.245397723014e-002  ,-2.801935969758e-005  
  8.139975235064e-008  ,8.400413218990e-001  ,5.000636769275e+000  ,3.260092183625e-002  ,-2.834640016759e-005  
  8.639983698923e-008  ,8.508302406836e-001  ,5.001077446067e+000  ,3.277332821153e-002  ,-2.919828462684e-005  
  9.139992162783e-008  ,8.593848767967e-001  ,5.001389569425e+000  ,3.297434323219e-002  ,-3.040334674561e-005  
  9.640000626642e-008  ,8.660868269343e-001  ,5.001594383264e+000  ,3.321087706532e-002  ,-3.188687175860e-005  
  1.014000909050e-007  ,8.715069034967e-001  ,5.001724378072e+000  ,3.347077314845e-002  ,-3.353691805490e-005  
  1.064001755436e-007  ,8.760157323119e-001  ,5.001801267933e+000  ,3.377592553143e-002  ,-3.528102890750e-005  
  1.114002601822e-007  ,8.798147762885e-001  ,5.001837298328e+000  ,3.409734638355e-002  ,-3.708035519513e-005  
  1.164003448208e-007  ,8.830399581373e-001  ,5.001840742295e+000  ,3.447263405549e-002  ,-3.890897171389e-005  
  1.214004294594e-007  ,8.859000622529e-001  ,5.001824295191e+000  ,3.485613635515e-002  ,-4.072775851735e-005  
  1.264005140980e-007  ,8.884584432064e-001  ,5.001791843428e+000  ,3.530026246135e-002  ,-4.252545462513e-005  
  1.314005987366e-007  ,8.908094874003e-001  ,5.001749191283e+000  ,3.575200978032e-002  ,-4.428572478719e-005  
  1.364006833752e-007  ,8.930135240918e-001  ,5.001699995138e+000  ,3.625358371774e-002  ,-4.599915475444e-005  
  1.414007680138e-007  ,8.951031539576e-001  ,5.001646236685e+000  ,3.676912067998e-002  ,-4.766127256693e-005  
  1.464008526524e-007  ,8.971064264192e-001  ,5.001589592045e+000  ,3.732338224907e-002  ,-4.926867422090e-005  
  1.514009372910e-007  ,8.990454703842e-001  ,5.001531371068e+000  ,3.789615258209e-002  ,-5.081918065065e-005  
  1.564010219296e-007  ,9.009334232867e-001  ,5.001472337589e+000  ,3.849699239994e-002  ,-5.231184383153e-005  
  1.614011065682e-007  ,9.027883250842e-001  ,5.001413526900e+000  ,3.911866944838e-002  ,-5.374582757425e-005  
  1.664011912068e-007  ,9.046186915495e-001  ,5.001355396208e+000  ,3.975884526402e-002  ,-5.512158301212e-005  
  1.714012758454e-007  ,9.064308282874e-001  ,5.001298275670e+000  ,4.041966198116e-002  ,-5.643995298629e-005  
  1.764013604840e-007  ,9.082293631152e-001  ,5.001242373257e+000  ,4.109101365519e-002  ,-5.770204803415e-005  
  1.814014451225e-007  ,9.100177506218e-001  ,5.001187851188e+000  ,4.178008626402e-002  ,-5.890916283000e-005  
  1.864015297611e-007  ,9.117988080212e-001  ,5.001134798127e+000  ,4.247374426847e-002  ,-6.006296073933e-005  
  1.914016143997e-007  ,9.135737328036e-001  ,5.001083249483e+000  ,4.317938098574e-002  ,-6.116443504736e-005  
  1.964016990383e-007  ,9.153444722810e-001  ,5.001033247956e+000  ,4.388615455501e-002  ,-6.221560647192e-005  
  2.014017836769e-007  ,9.171116682391e-001  ,5.000984790095e+000  ,4.459596041780e-002  ,-6.321750071013e-005  
  2.064018683155e-007  ,9.188762834609e-001  ,5.000937867537e+000  ,4.530449719347e-002  ,-6.417190810797e-005  
  2.114019529541e-007  ,9.206388729933e-001  ,5.000892461759e+000  ,4.600767605276e-002  ,-6.508034872143e-005  
  2.164020375927e-007  ,9.223998366345e-001  ,5.000848539097e+000  ,4.670552569726e-002  ,-6.594431659094e-005  
  2.214021222313e-007  ,9.241594809830e-001  ,5.000806069430e+000  ,4.739224919778e-002  ,-6.676527397287e-005  
  2.264022068699e-007  ,9.259180527692e-001  ,5.000765006747e+000  ,4.806706227084e-002  ,-6.754487876104e-005  
  2.314022915085e-007  ,9.276756899698e-001  ,5.000725316578e+000  ,4.872767871515e-002  ,-6.828435375692e-005  
  2.364023761471e-007  ,9.294324862642e-001  ,5.000686970528e+000  ,4.936742946064e-002  ,-6.898467405062e-005  
  2.414024607857e-007  ,9.311885750222e-001  ,5.000649918759e+000  ,4.999259443396e-002  ,-6.964745929900e-005  
  2.464025454243e-007  ,9.329440387838e-001  ,5.000614115357e+000  ,5.058578022471e-002  ,-7.027418299993e-005  
  2.514026300629e-007  ,9.346989252982e-001  ,5.000579524045e+000  ,5.116658675338e-002  ,-7.086592630635e-005  
  2.564027147015e-007  ,9.364532792435e-001  ,5.000546107217e+000  ,5.170241112868e-002  ,-7.142382947277e-005  
  2.614027993401e-007  ,9.382071409867e-001  ,5.000513827670e+000  ,5.223050105220e-002  ,-7.194902774926e-005  
  2.664028839787e-007  ,9.399605349561e-001  ,5.000482656263e+000  ,5.269903615878e-002  ,-7.244235681085e-005  
  2.714029686173e-007  ,9.417135050694e-001  ,5.000452548909e+000  ,5.315875030639e-002  ,-7.290518223663e-005  
  2.764030532559e-007  ,9.434660768116e-001  ,5.000423468075e+000  ,5.355901437066e-002  ,-7.333854514463e-005  
  2.814031378945e-007  ,9.452182835811e-001  ,5.000395375173e+000  ,5.394085771008e-002  ,-7.374361274196e-005  
  2.864032225331e-007  ,9.469701430588e-001  ,5.000368247753e+000  ,5.426754185380e-002  ,-7.412102984254e-005  
  2.914033071717e-007  ,9.487216909943e-001  ,5.000342042736e+000  ,5.456403027798e-002  ,-7.447205374128e-005  
  2.964033918102e-007  ,9.504729457827e-001  ,5.000316739522e+000  ,5.481181380136e-002  ,-7.479728666087e-005  
  3.014034764488e-007  ,9.522239400485e-001  ,5.000292302625e+000  ,5.501668403205e-002  ,-7.509776225365e-005  
  3.064035610874e-007  ,9.539747073078e-001  ,5.000268698456e+000  ,5.518115073455e-002  ,-7.537446488431e-005  
  3.114036457260e-007  ,9.557252735895e-001  ,5.000245901944e+000  ,5.528942132253e-002  ,-7.562811515319e-005  
  3.164037303646e-007  ,9.574756682795e-001  ,5.000223887287e+000  ,5.536708758751e-002  ,-7.585947241482e-005  
  3.214038150032e-007  ,9.592259137420e-001  ,5.000202634787e+000  ,5.537509577512e-002  ,-7.606910606466e-005  
  3.264038996418e-007  ,9.609760496127e-001  ,5.000182112998e+000  ,5.536343084362e-002  ,-7.625794939378e-005  
  3.314039842804e-007  ,9.627261076080e-001  ,5.000162296972e+000  ,5.526885254255e-002  ,-7.642671776928e-005  
  3.364040689190e-007  ,9.644761202792e-001  ,5.000143162918e+000  ,5.516221565720e-002  ,-7.657610228603e-005  
  3.414041535576e-007  ,9.662261230001e-001  ,5.000124689030e+000  ,5.496813477276e-002  ,-7.670677133018e-005  
  3.464042381962e-007  ,9.679761532568e-001  ,5.000106848304e+000  ,5.475792802463e-002  ,-7.681947408465e-005  
  3.514043228348e-007  ,9.697262431964e-001  ,5.000089622802e+000  ,5.447265851010e-002  ,-7.691475919757e-005  
  3.564044074734e-007  ,9.714764274750e-001  ,5.000072993416e+000  ,5.415957897552e-002  ,-7.699320537221e-005  
  3.614044921120e-007  ,9.732267302880e-001  ,5.000056943996e+000  ,5.378436661209e-002  ,-7.705524610711e-005  
  3.664045767506e-007  ,9.749771961749e-001  ,5.000041451310e+000  ,5.337037814883e-002  ,-7.710159215296e-005  
  3.714046613892e-007  ,9.767278610792e-001  ,5.000026496938e+000  ,5.290734812343e-002  ,-7.713278884067e-005  
  3.764047460278e-007  ,9.784787576017e-001  ,5.000012061625e+000  ,5.239563056566e-002  ,-7.714936273878e-005  
  3.814048306664e-007  ,9.802299287734e-001  ,4.999998127070e+000  ,5.184776549392e-002  ,-7.715190483745e-005  
  3.864049153050e-007  ,9.819813963720e-001  ,4.999984681445e+000  ,5.124264592295e-002  ,-7.714074174646e-005  
  3.914049999436e-007  ,9.837332004065e-001  ,4.999971705741e+000  ,5.061371414998e-002  ,-7.711643409289e-005  
  3.964050845822e-007  ,9.854853739774e-001  ,4.999959184398e+000  ,4.992058255840e-002  ,-7.707944216317e-005  
  4.014051692208e-007  ,9.872379561137e-001  ,4.999947100240e+000  ,4.921509665505e-002  ,-7.703028251243e-005  
  4.064052538594e-007  ,9.889909670432e-001  ,4.999935443140e+000  ,4.844032717379e-002  ,-7.696924038310e-005  
  4.114053384979e-007  ,9.907444458049e-001  ,4.999924197752e+000  ,4.765671395739e-002  ,-7.689680604629e-005  
  4.164054231365e-007  ,9.924984222477e-001  ,4.999913349620e+000  ,4.681432987681e-002  ,-7.681338235928e-005  
  4.214055077751e-007  ,9.942529251806e-001  ,4.999902884968e+000  ,4.595799713209e-002  ,-7.671935811918e-005  
  4.264055924137e-007  ,9.960079866595e-001  ,4.999892793162e+000  ,4.505643014999e-002  ,-7.661510996604e-005  
  4.314056770523e-007  ,9.977636315127e-001  ,4.999883059723e+000  ,4.413560086259e-002  ,-7.650100203365e-005  
  4.364057616909e-007  ,9.995198921629e-001  ,4.999873672354e+000  ,4.318169680881e-002  ,-7.637744256614e-005  
  4.414058463295e-007  ,1.001276785816e+000  ,4.999864623552e+000  ,4.220522569845e-002  ,-7.624465760947e-005  
  4.464059309681e-007  ,1.003034339964e+000  ,4.999855899474e+000  ,4.120622352666e-002  ,-7.610303491638e-005  
  4.514060156067e-007  ,1.004792578251e+000  ,4.999847490267e+000  ,4.018347048155e-002  ,-7.595289299186e-005  
  4.564061002453e-007  ,1.006551525171e+000  ,4.999839383614e+000  ,3.914693264987e-002  ,-7.579458952195e-005  
  4.614061848839e-007  ,1.008311197772e+000  ,4.999831570907e+000  ,3.808765284847e-002  ,-7.562838663873e-005  
  4.664062695225e-007  ,1.010071610389e+000  ,4.999824045524e+000  ,3.702139125523e-002  ,-7.545449295546e-005  
  4.714063541611e-007  ,1.011832783656e+000  ,4.999816795372e+000  ,3.593563158232e-002  ,-7.527325414289e-005  
  4.764064387997e-007  ,1.013594733788e+000  ,4.999809811963e+000  ,3.484723738029e-002  ,-7.508494008792e-005  
  4.814065234383e-007  ,1.015357473930e+000  ,4.999803086216e+000  ,3.374560531021e-002  ,-7.488981192810e-005  
  4.864066080769e-007  ,1.017121017493e+000  ,4.999796610299e+000  ,3.264307626828e-002  ,-7.468812237777e-005  
  4.914066927155e-007  ,1.018885374686e+000  ,4.999790375885e+000  ,3.153591341757e-002  ,-7.448011610261e-005  
  4.964067773541e-007  ,1.020650554708e+000  ,4.999784374943e+000  ,3.042949384071e-002  ,-7.426602962251e-005  
  5.014068619927e-007  ,1.022416564405e+000  ,4.999778599975e+000  ,2.932485454725e-002  ,-7.404609172343e-005  
  5.064069466313e-007  ,1.024183411447e+000  ,4.999773042912e+000  ,2.822468423154e-002  ,-7.382055960720e-005  
  5.114070312699e-007  ,1.025951097672e+000  ,4.999767698747e+000  ,2.713051362694e-002  ,-7.358957545589e-005  
  5.164071159085e-007  ,1.027719625933e+000  ,4.999762559141e+000  ,2.604653645317e-002  ,-7.335338331254e-005  
  5.214072005470e-007  ,1.029488998132e+000  ,4.999757618372e+000  ,2.497059295347e-002  ,-7.311218404797e-005  
  5.264072851856e-007  ,1.031259211816e+000  ,4.999752868032e+000  ,2.391244399579e-002  ,-7.286620310310e-005  
  5.314073698242e-007  ,1.033030265078e+000  ,4.999748303559e+000  ,2.286222996618e-002  ,-7.261560602307e-005  
  5.364074544628e-007  ,1.034802153326e+000  ,4.999743918595e+000  ,2.183915280670e-002  ,-7.236056716865e-005  
  5.414075391014e-007  ,1.036574872812e+000  ,4.999739709447e+000  ,2.082187357433e-002  ,-7.210121767494e-005  
  5.464076237400e-007  ,1.038348414383e+000  ,4.999735668285e+000  ,1.984262664134e-002  ,-7.183777232316e-005  
  5.514077083786e-007  ,1.040122769075e+000  ,4.999731789944e+000  ,1.886921265459e-002  ,-7.157042285643e-005  
  5.564077930172e-007  ,1.041897925992e+000  ,4.999728068970e+000  ,1.793789213539e-002  ,-7.129930978351e-005  
  5.614078776558e-007  ,1.043673873301e+000  ,4.999724500617e+000  ,1.701810016288e-002  ,-7.102458126445e-005  
  5.664079622944e-007  ,1.045450601866e+000  ,4.999721081596e+000  ,1.613893913241e-002  ,-7.074634869466e-005  
  5.714080469330e-007  ,1.047228090701e+000  ,4.999717805052e+000  ,1.528014387899e-002  ,-7.046481805770e-005  
  5.764081315716e-007  ,1.049006325527e+000  ,4.999714667054e+000  ,1.445861410622e-002  ,-7.018011286004e-005  
  5.814082162102e-007  ,1.050785293601e+000  ,4.999711664642e+000  ,1.366747604785e-002  ,-6.989233148744e-005  
  5.864083008488e-007  ,1.052564970849e+000  ,4.999708791281e+000  ,1.290851457961e-002  ,-6.960163658077e-005  
  5.914083854874e-007  ,1.054345341383e+000  ,4.999706045842e+000  ,1.219093120315e-002  ,-6.930815608577e-005  
  5.964084701260e-007  ,1.056126375200e+000  ,4.999703419882e+000  ,1.149891456506e-002  ,-6.901203301066e-005  
  6.014085547646e-007  ,1.057908055968e+000  ,4.999700912683e+000  ,1.085998391373e-002  ,-6.871337263306e-005  
  6.064086394032e-007  ,1.059690359693e+000  ,4.999698519677e+000  ,1.023870631304e-002  ,-6.841228585176e-005  
  6.114087240418e-007  ,1.061473269698e+000  ,4.999696238790e+000  ,9.682699551810e-003  ,-6.810885621215e-005  
  6.164088086804e-007  ,1.063256752818e+000  ,4.999694064242e+000  ,9.136517799998e-003  ,-6.780322020319e-005  
  6.214088933190e-007  ,1.065040786582e+000  ,4.999691994895e+000  ,8.665695810442e-003  ,-6.749548314374e-005  
  6.264089779576e-007  ,1.066825336005e+000  ,4.999690024676e+000  ,8.206450811107e-003  ,-6.718576321165e-005  
  6.314090625962e-007  ,1.068610378601e+000  ,4.999688152358e+000  ,7.814108510379e-003  ,-6.687414732724e-005  
  6.364091472347e-007  ,1.070395885147e+000  ,4.999686373979e+000  ,7.444105931887e-003  ,-6.656072681969e-005  
  6.414092318733e-007  ,1.072181835812e+000  ,4.999684688414e+000  ,7.131584961684e-003  ,-6.624557072793e-005  
  6.464093165119e-007  ,1.073968187654e+000  ,4.999683090655e+000  ,6.852266823181e-003  ,-6.592880637430e-005  
  6.514094011505e-007  ,1.075754922328e+000  ,4.999681579960e+000  ,6.620290790669e-003  ,-6.561049167195e-005  
  6.564094857891e-007  ,1.077542002348e+000  ,4.999680151790e+000  ,6.432241804852e-003  ,-6.529072561656e-005  
  6.614095704277e-007  ,1.079329399226e+000  ,4.999678804984e+000  ,6.280927538087e-003  ,-6.496958979428e-005  
  6.664096550663e-007  ,1.081117075632e+000  ,4.999677535773e+000  ,6.183890822815e-003  ,-6.464717621032e-005  
  6.714097397049e-007  ,1.082905004275e+000  ,4.999676342221e+000  ,6.112757406328e-003  ,-6.432355224903e-005  
  6.764098243435e-007  ,1.084693163224e+000  ,4.999675223151e+000  ,6.105658106779e-003  ,-6.399877183253e-005  
  6.814099089821e-007  ,1.086481513067e+000  ,4.999674174601e+000  ,6.113648030078e-003  ,-6.367292398603e-005  
  6.864099936207e-007  ,1.088270023724e+000  ,4.999673195490e+000  ,6.194627493882e-003  ,-6.334607837629e-005  
  6.914100782593e-007  ,1.090058658966e+000  ,4.999672283045e+000  ,6.285708068716e-003  ,-6.301831381232e-005  
  6.964101628979e-007  ,1.091847391262e+000  ,4.999671435444e+000  ,6.446586382663e-003  ,-6.268968807657e-005  
  7.014102475365e-007  ,1.093636196524e+000  ,4.999670650434e+000  ,6.622474676984e-003  ,-6.236024676897e-005  
  7.064103321751e-007  ,1.095425038688e+000  ,4.999669926911e+000  ,6.856089007592e-003  ,-6.203006609273e-005  
  7.114104168137e-007  ,1.097213887817e+000  ,4.999669263264e+000  ,7.113288390154e-003  ,-6.169920645211e-005  
  7.164105014523e-007  ,1.099002706692e+000  ,4.999668655623e+000  ,7.416533015886e-003  ,-6.136773481458e-005  
  7.214105860909e-007  ,1.100791478670e+000  ,4.999668105013e+000  ,7.750913082404e-003  ,-6.103568885534e-005  
  7.264106707295e-007  ,1.102580166339e+000  ,4.999667607268e+000  ,8.120252281379e-003  ,-6.070313255989e-005  
  7.314107553681e-007  ,1.104368745920e+000  ,4.999667163677e+000  ,8.527103820537e-003  ,-6.037011918879e-005  
  7.364108400067e-007  ,1.106157184824e+000  ,4.999666768784e+000  ,8.958608216869e-003  ,-6.003669992767e-005  
  7.414109246453e-007  ,1.107945456377e+000  ,4.999666424388e+000  ,9.432703542526e-003  ,-5.970293251689e-005  
  7.464110092838e-007  ,1.109733534066e+000  ,4.999666127979e+000  ,9.922092899222e-003  ,-5.936885996489e-005  
  7.514110939224e-007  ,1.111521399993e+000  ,4.999665878418e+000  ,1.045774659829e-002  ,-5.903451633637e-005  
  7.564111785610e-007  ,1.113309022128e+000  ,4.999665672942e+000  ,1.100045128580e-002  ,-5.869995763273e-005  
  7.614112631996e-007  ,1.115096374823e+000  ,4.999665511952e+000  ,1.159156198494e-002  ,-5.836523530435e-005  
  7.664113478382e-007  ,1.116883436766e+000  ,4.999665393330e+000  ,1.218843128946e-002  ,-5.803038729756e-005  
  7.714114324768e-007  ,1.118670186161e+000  ,4.999665315831e+000  ,1.282288759888e-002  ,-5.769545354195e-005  
  7.764115171154e-007  ,1.120456607658e+000  ,4.999665278962e+000  ,1.346744255809e-002  ,-5.736046423543e-005  
  7.814116017540e-007  ,1.122242671135e+000  ,4.999665280366e+000  ,1.413997693579e-002  ,-5.702547496485e-005  
  7.864116863926e-007  ,1.124028361150e+000  ,4.999665320213e+000  ,1.482550145139e-002  ,-5.669051969408e-005  
  7.914117710312e-007  ,1.125813659153e+000  ,4.999665396771e+000  ,1.553071008465e-002  ,-5.635563409529e-005  
  7.964118556698e-007  ,1.127598552435e+000  ,4.999665509267e+000  ,1.625032301157e-002  ,-5.602084496440e-005  
  8.014119403084e-007  ,1.129383017301e+000  ,4.999665656157e+000  ,1.698271362149e-002  ,-5.568620191019e-005  
  8.064120249470e-007  ,1.131167045702e+000  ,4.999665837776e+000  ,1.772943612682e-002  ,-5.535172791155e-005  
  8.114121095856e-007  ,1.132950617109e+000  ,4.999666050838e+000  ,1.848346708397e-002  ,-5.501746158731e-005  
  8.164121942242e-007  ,1.134733723899e+000  ,4.999666297687e+000  ,1.925028640301e-002  ,-5.468343538290e-005  
  8.214122788628e-007  ,1.136516347470e+000  ,4.999666574135e+000  ,2.002041079085e-002  ,-5.434968573287e-005  
  8.264123635014e-007  ,1.138298481640e+000  ,4.999666881108e+000  ,2.080034463906e-002  ,-5.401623942252e-005  
  8.314124481400e-007  ,1.140080116490e+000  ,4.999667217485e+000  ,2.158135654448e-002  ,-5.368312487738e-005  
  8.364125327786e-007  ,1.141861244025e+000  ,4.999667582523e+000  ,2.236720996457e-002  ,-5.335037057826e-005  
  8.414126174172e-007  ,1.143641856763e+000  ,4.999667975255e+000  ,2.315302967229e-002  ,-5.301800438021e-005  
  8.464127020558e-007  ,1.145421950252e+000  ,4.999668395408e+000  ,2.393870723240e-002  ,-5.268604688285e-005  
  8.514127866944e-007  ,1.147201516574e+000  ,4.999668841862e+000  ,2.472265314312e-002  ,-5.235453612279e-005  
  8.564128713330e-007  ,1.148980553218e+000  ,4.999669314106e+000  ,2.550298702601e-002  ,-5.202349500982e-005  
  8.614129559715e-007  ,1.150759057086e+000  ,4.999669811168e+000  ,2.627860640190e-002  ,-5.169294763310e-005  
  8.664130406101e-007  ,1.152537027494e+000  ,4.999670332815e+000  ,2.704861077726e-002  ,-5.136291223753e-005  
  8.714131252487e-007  ,1.154314462535e+000  ,4.999670878168e+000  ,2.780972624204e-002  ,-5.103341885286e-005  
  8.764132098873e-007  ,1.156091363330e+000  ,4.999671446621e+000  ,2.856463312700e-002  ,-5.070449074757e-005  
  8.814132945259e-007  ,1.157867731530e+000  ,4.999672037935e+000  ,2.930538993789e-002  ,-5.037615076908e-005  
  8.864133791645e-007  ,1.159643569677e+000  ,4.999672650642e+000  ,3.004067455460e-002  ,-5.004842445813e-005  
  8.914134638031e-007  ,1.161418882536e+000  ,4.999673285096e+000  ,3.075558152026e-002  ,-4.972133095243e-005  
  8.964135484417e-007  ,1.163193673790e+000  ,4.999673940180e+000  ,3.146699015550e-002  ,-4.939489030167e-005  
  9.014136330803e-007  ,1.164967947724e+000  ,4.999674615682e+000  ,3.215096353480e-002  ,-4.906911766530e-005  
  9.064137177189e-007  ,1.166741713223e+000  ,4.999675311001e+000  ,3.283082269639e-002  ,-4.874404133345e-005  
  9.114138023575e-007  ,1.168514976307e+000  ,4.999676026349e+000  ,3.348292723178e-002  ,-4.841967454108e-005  
  9.164138869961e-007  ,1.170287744121e+000  ,4.999676759351e+000  ,3.412631679819e-002  ,-4.809603929435e-005  
  9.214139716347e-007  ,1.172060031121e+000  ,4.999677512033e+000  ,3.474363750830e-002  ,-4.777315740248e-005  
  9.264140562733e-007  ,1.173831844374e+000  ,4.999678282227e+000  ,3.534650594913e-002  ,-4.745104481048e-005  
  9.314141409119e-007  ,1.175603194643e+000  ,4.999679069682e+000  ,3.592608265922e-002  ,-4.712971826634e-005  
  9.364142255505e-007  ,1.177374093609e+000  ,4.999679874327e+000  ,3.648486859627e-002  ,-4.680919473752e-005  
  9.414143101891e-007  ,1.179144550852e+000  ,4.999680695807e+000  ,3.702409510814e-002  ,-4.648948682767e-005  
  9.464143948277e-007  ,1.180914581240e+000  ,4.999681533445e+000  ,3.753574151568e-002  ,-4.617061516572e-005  
  9.514144794663e-007  ,1.182684201536e+000  ,4.999682387063e+000  ,3.803238077622e-002  ,-4.585259835763e-005  
  9.564145641049e-007  ,1.184453424536e+000  ,4.999683256438e+000  ,3.849434921570e-002  ,-4.553545036363e-005  
  9.614146487435e-007  ,1.186222263153e+000  ,4.999684140393e+000  ,3.894653699205e-002  ,-4.521918548886e-005  
  9.664147333821e-007  ,1.187990730644e+000  ,4.999685039804e+000  ,3.935681150441e-002  ,-4.490381498373e-005  
  9.714148180206e-007  ,1.189758844662e+000  ,4.999685953408e+000  ,3.976095552887e-002  ,-4.458935714527e-005  
  9.764149026592e-007  ,1.191526624623e+000  ,4.999686881016e+000  ,4.012014398593e-002  ,-4.427582828864e-005  
  9.814149872978e-007  ,1.193294086830e+000  ,4.999687822997e+000  ,4.047086838721e-002  ,-4.396324101617e-005  
  9.864150719364e-007  ,1.195061242243e+000  ,4.999688778087e+000  ,4.078224743039e-002  ,-4.365160498424e-005  
  9.914151565750e-007  ,1.196828113691e+000  ,4.999689745666e+000  ,4.107871606008e-002  ,-4.334093811260e-005  
  9.964152412136e-007  ,1.198594719661e+000  ,4.999690727059e+000  ,4.134190267244e-002  ,-4.303125229740e-005  
  1.001415325852e-006  ,1.200361072024e+000  ,4.999691721012e+000  ,4.158378912176e-002  ,-4.272255674453e-005  
  1.006415410491e-006  ,1.202127190573e+000  ,4.999692726003e+000  ,4.179875794916e-002  ,-4.241486613438e-005  
  1.011415495129e-006  ,1.203893097709e+000  ,4.999693744660e+000  ,4.198622516100e-002  ,-4.210819272369e-005  
  1.016415579768e-006  ,1.205658810337e+000  ,4.999694773748e+000  ,4.215329052340e-002  ,-4.180255019075e-005  
  1.021415664407e-006  ,1.207424346998e+000  ,4.999695814393e+000  ,4.228697154855e-002  ,-4.149794847709e-005  
  1.026415749045e-006  ,1.209189725317e+000  ,4.999696866386e+000  ,4.240678115549e-002  ,-4.119439840071e-005  
  1.031415833684e-006  ,1.210954962664e+000  ,4.999697929005e+000  ,4.248775794109e-002  ,-4.089191059269e-005  
